,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
2,222.3964558839798,9.412083506584167,0.6891570091247559,0.043883562088012695,0.02,3,1000,"{'learning_rate': 0.02, 'max_depth': 3, 'n_estimators': 1000}",0.8682112156774148,0.8741787872856761,0.8711950014815455,0.0029837858041306675,7,0.9078800306663795,0.9044691937677385,0.906174612217059,0.0017054184493204838
0,151.34975111484528,2.8070002794265747,0.4991490840911865,0.007496356964111328,0.02,2,1000,"{'learning_rate': 0.02, 'max_depth': 2, 'n_estimators': 1000}",0.8534022905997208,0.8597440539488823,0.8565731722743015,0.003170881674580739,8,0.8796735619260798,0.8761513171954516,0.8779124395607657,0.0017611223653141161
3,457.67307209968567,38.31265306472778,1.3242319822311401,0.18428099155426025,0.02,3,2000,"{'learning_rate': 0.02, 'max_depth': 3, 'n_estimators': 2000}",0.8858685093484944,0.8913957548690232,0.8886321321087588,0.002763622760264428,4,0.9328503233401477,0.9300671515081322,0.93145873742414,0.0013915859160077426
1,302.7298241853714,5.24046003818512,0.8113299608230591,0.017452597618103027,0.02,2,2000,"{'learning_rate': 0.02, 'max_depth': 2, 'n_estimators': 2000}",0.8762697798740392,0.8824533258147129,0.8793615528443761,0.003091772970336859,6,0.9062840312062561,0.9029764747394857,0.9046302529728709,0.0016537782333851947
6,268.15436244010925,1.1839702129364014,0.8595210313796997,0.003083348274230957,0.05,3,1000,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 1000}",0.8874483331085139,0.8923718903054569,0.8899101117069854,0.00246177859847152,3,0.9374752227830007,0.9355283108056844,0.9365017667943425,0.0009734559886581118
4,173.70206141471863,1.2800235748291016,0.7031445503234863,0.12771105766296387,0.05,2,1000,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 1000}",0.8806851259237404,0.8863681865320115,0.883526656227876,0.0028415303041355866,5,0.9117076804475404,0.9085753999131951,0.9101415401803677,0.001566140267172611
5,397.62773036956787,4.613017797470093,1.102928638458252,0.008697509765625,0.05,2,2000,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 2000}",0.8923283404287385,0.8966854660166872,0.8945069032227129,0.0021785627939743257,1,0.9293895432829159,0.9266288740551449,0.9280092086690304,0.001380334613885481
7,646.817032456398,111.1482390165329,1.543563961982727,0.21818697452545166,0.05,3,2000,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 2000}",0.8923822397001477,0.8963380571374404,0.8943601484187941,0.0019779087186463373,2,0.9573916991519931,0.9559669094350712,0.9566793042935322,0.0007123948584609185
